Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
POL,AGO,4.223809523809524,19840413,2,4.361538461538462,63,5.707459912883933,23.385113076923076,3.4505953846153847,17.72146923076923,16.569453846153845,13
POL,ALB,-1.981081081081081,19841127,3,-1.21,37,4.061513288214736,51.21141,46.836490000000005,20.82585,20.3435,10
POL,ARG,2.6596385542168677,19841009,1,2.5020408163265304,166,5.645556295723229,46.38076530612244,-0.24301836734693874,15.965212244897959,-31.13805857142857,49
POL,AUS,-2.525,19840713,3,-2.033333333333333,12,5.331320514857777,18.761133333333333,-33.8833,2.7723333333333406,151.217,3
POL,AUT,2.5678160919540227,19841213,4,1.8890410958904111,261,5.0083442946497545,49.00844383561644,47.20638082191781,13.812516849315069,15.137863013698631,73
POL,BEL,2.3307692307692305,19841228,3,2.473684210526316,39,5.8250032769782765,51.841231578947365,53.642736842105265,18.698021052631578,10.375360526315788,19
POL,BEN,3.5,19840330,1,3.5,9,12.5,9.5,9.5,2.25,2.25,1
POL,BGD,6.9393939393939394,19840601,1,6.833333333333333,33,4.476823102243036,29.28718333333333,20.137,51.734766666666665,74.6956,6
POL,BGR,3.022064056939502,19841227,4,3.0380434782608696,281,5.481368447936602,48.71800434782609,43.97770108695652,20.253888043478263,23.300401086956523,92
POL,BLR,6.4,19840517,2,6.4,4,5.43478260869565,55.7522,55.7522,37.6156,37.6156,1
POL,BMU,2.7806451612903227,19840728,1,2.8333333333333335,31,4.524219242730694,45.815377777777776,41.43631111111111,-19.13531111111111,-37.97617777777778,9
POL,BRA,1.7787499999999998,19840316,1,1.8307692307692305,80,3.158388618317765,46.45805769230769,9.658953846153846,14.001380769230767,-25.104492307692308,26
POL,CAN,0.48295454545454547,19841125,3,0.9416666666666667,176,4.6973972881269095,49.822298333333336,46.106685,-4.364571666666667,-56.118625,60
POL,CHE,2.3782608695652177,19841204,4,2.935714285714286,92,3.9395115350276204,51.7058,49.442257142857144,15.787806892857143,11.144400714285714,28
POL,CHL,7.0,19841128,2,7.0,4,3.5254198297676567,23.516666666666666,-0.5569333333333333,-10.222233333333335,-40.269933333333334,3
POL,CHN,3.15,19841114,4,3.3421052631578947,146,4.802489813720088,46.76979736842105,38.82445263157894,53.027157894736845,96.19257894736843,38
POL,CMR,3.5,19840330,1,3.5,9,12.5,9.5,7.75,2.25,7.125,2
POL,CUB,3.2491935483870966,19841210,1,3.47,124,3.0470825241676955,41.936275,29.538867500000002,-6.702277499999999,-52.608349999999994,40
POL,CYP,8.0,19840715,1,8.0,6,2.32558139534884,52.25,40.75,21.0,29.0,3
POL,CZE,2.1656387665198236,19841228,4,2.580232558139535,227,5.284253146004852,51.01007441860465,49.592065116279066,23.94612906976744,17.173453488372093,86
POL,DEU,0.3467899891186071,19841228,4,0.1553264604810996,919,4.06932862300774,51.737560137457045,51.3349883161512,18.02782529209622,12.00077560137457,291
POL,DJI,6.0,19840811,2,6.0,5,3.19327731092437,24.4657,32.0,36.031400000000005,53.0,2
POL,DNK,1.7199999999999998,19841208,2,1.5307692307692307,60,2.465139040390763,54.30779230769231,56.29873846153846,4.360630769230769,9.3205,13
POL,DZA,3.175,19841101,1,3.94,8,6.74157303370786,52.0,32.8,20.0,6.4,5
POL,ECU,4.76875,19840812,1,4.45,16,5.26315789473684,52.0,25.0,20.0,-28.75,2
POL,EGY,3.009259259259259,19841113,1,3.5545454545454547,54,2.7910094780646046,40.29545454545455,30.113636363636363,17.363636363636363,22.636363636363637,11
POL,ESP,3.7333333333333334,19840604,1,3.7,9,5.30567033167815,49.4754,43.497,14.421315,-2.8135999999999997,4
POL,ETH,3.920689655172414,19841206,2,3.54,29,3.9978054221834265,34.631666,21.431666,27.439999999999998,32.839999999999996,10
POL,EUR,1.7377272727272728,19841120,4,1.6428571428571428,440,4.832404112159293,43.80205119047619,45.12835119047619,15.418778571428572,19.755770595238094,84
POL,FIN,2.981981981981982,19841101,2,2.7956521739130435,111,5.022671808482723,49.5120347826087,53.832817391304346,19.864604347826088,21.980734782608696,23
POL,FRA,1.4546099290780141,19841216,4,1.9,282,5.173525510151128,48.073288,44.55728,18.699642,9.369550933333333,75
POL,GBR,2.1555555555555554,19841227,4,2.0880597014925373,216,4.289354759856156,49.13897014925374,48.14179701492537,11.516500985074627,-2.644432014925373,67
POL,GRC,3.788148148148148,19841221,3,3.824193548387097,270,5.120532312946481,46.514661290322586,38.55074516129032,17.638462903225804,18.76585,62
POL,HRV,3.4,19840530,1,3.4,2,6.52173913043478,52.0,45.8,20.0,16.0,2
POL,HUN,3.5557491289198606,19841213,3,3.714673913043478,574,4.106402353465984,48.10016467391304,45.63675489130434,20.591770652173913,20.011391304347825,184
POL,IRL,1.6,19840608,1,1.5999999999999999,15,5.022831050228313,52.75,53.19436666666667,13.0,4.25037,3
POL,IRN,-0.8947368421052632,19840804,4,-1.1,19,4.012642986152921,47.125,37.0625,28.75,45.0,4
POL,IRQ,2.2824999999999998,19840512,1,2.0846153846153843,40,0.7046388725778047,48.32132307692307,39.06649230769231,25.675984615384614,37.14726923076923,13
POL,ISR,-0.03428571428571427,19841022,3,-0.62,35,7.0492690164129,48.96497,35.65334,11.98116,31.896659999999997,10
POL,ITA,1.994033412887828,19841226,4,2.0304054054054053,419,4.392711729740314,48.59104459459459,43.61928378378378,12.87393445945946,8.806529256756757,148
POL,JPN,2.78,19841212,3,2.9,50,4.131843680118098,47.46666666666667,38.31386666666666,52.15570666666667,106.90497333333333,15
POL,KHM,3.6571428571428575,19841027,1,4.3999999999999995,14,6.615901089003519,52.166666666666664,26.083333333333332,20.666666666666668,77.0,3
POL,KOR,1.0,19841112,1,1.0,19,4.6052631578947345,26.0,26.0,10.0,10.0,2
POL,LAO,1.8999999999999997,19841201,1,1.9,9,1.40845070422535,17.9667,17.9667,102.6,102.6,1
POL,LKA,2.8,19840302,1,2.8,9,1.92307692307692,52.3553,29.67765,14.5648,47.7824,2
POL,LTU,0.843298969072165,19840521,4,1.2633333333333332,97,4.88695190663386,51.933883333333334,54.11116666666667,25.751116666666668,26.47609333333333,30
POL,LUX,-4.0,19840419,3,-4.0,3,7.15746421267894,52.25,51.125,21.0,5.958349999999999,2
POL,LVA,-10.0,19840515,4,-10.0,9,3.29810002980296,52.0,58.0,20.0,25.5,4
POL,MDV,2.5999999999999996,19840225,1,2.5,9,4.0,50.30623333333333,50.30623333333333,19.315366666666666,19.315366666666666,3
POL,MEA,2.8,19840710,1,2.7999999999999994,9,4.58715596330275,45.833333333333336,39.416666666666664,28.666666666666668,36.333333333333336,3
POL,MEX,4.745,19841109,4,5.99,40,2.208646381676019,42.94,26.691840000000003,5.24833,-56.031060000000004,10
POL,MKD,4.0,19840910,1,4.0,7,0.99009900990099,41.8333,41.8333,22.0,22.0,1
POL,MNG,1.228813559322034,19841028,4,1.4846153846153847,59,5.751286545765071,50.10607692307693,49.272069230769226,17.96169230769231,80.36096923076924,13
POL,NER,3.5,19840330,1,3.5,9,12.5,9.5,7.75,2.25,7.125,2
POL,NGA,1.8999999999999997,19840520,1,1.9,9,1.2987012987013,6.45306,6.45306,3.39583,3.39583,1
POL,NIC,3.237593984962406,19841116,2,3.5121212121212118,133,6.743431995302897,43.196896969696965,23.420930303030303,-8.427084848484848,-55.427078787878784,33
POL,NLD,3.7096774193548385,19841228,3,1.6888888888888889,31,3.464777447722996,52.62372222222222,52.30334444444444,17.099822222222222,9.955615555555555,9
POL,NOR,3.376923076923077,19841230,1,3.6999999999999997,26,4.469245914332622,37.41096666666667,41.327644444444445,14.535233333333334,14.775977777777777,9
POL,PAN,1.8999999999999997,19841012,1,1.9,9,1.04166666666667,36.875,36.875,-29.5,-29.5,2
POL,PER,3.2161290322580647,19841229,3,2.9761904761904763,62,5.717362899051753,46.61666666666667,28.30004761904762,14.997619047619047,-23.66944,21
