Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,ABW,ABW,ABW,-2.1146198830409357,20071220,4,-1.8712499999999999,342,3.889681274524611,22.095975000000003,27.861345,-59.60966625,-56.086102625,80
ABW,AFR,ABW,AFR,7.0,20070305,1,7.0,4,1.7825311942959,12.5167,-6.84165,-70.0333,-20.974999999999998,2
ABW,AUS,ABW,AUS,2.2666666666666666,20070614,1,2.0,9,3.9811360912278366,-5.383333333333333,-23.266666666666666,2.3055333333333294,74.57776666666666,3
ABW,CHN,ABW,CHN,0.0,20070621,1,0.0,8,3.59220678323302,12.5,12.5,-69.9667,-69.9667,1
ABW,CUB,ABW,CUB,3.5,20070826,1,3.5,16,5.899491168347986,17.8243,22.06595,-76.19874999999999,-79.1571,4
ABW,ESP,ABW,ESP,7.4,20071025,2,7.4,1,11.7780294450736,12.5167,12.5167,-70.0333,-70.0333,1
ABW,GBR,ABW,GBR,0.0,20071220,1,0.0,16,4.424510938773198,32.8986,33.079025,-89.700175,-89.69897499999999,4
ABW,GRD,ABW,GRD,-5.0,20071024,4,-5.0,9,7.38060781476122,11.75,12.1167,-65.48335,-61.6667,2
ABW,IRQ,ABW,IRQ,5.769230769230769,20070917,1,5.4,13,5.353074745926255,16.66772,29.1827,-47.09458,21.535320000000002,5
ABW,MEX,ABW,MEX,1.6,20070904,2,1.0,10,4.039690208416417,12.505566666666667,24.552400000000002,-69.9889,-107.97133333333333,3
ABW,NLD,ABW,NLD,0.1310051107325383,20071224,4,0.7341269841269841,587,3.803393980497299,22.977418253968253,45.63951587301588,-53.03428849206349,-12.954279047619048,126
ABW,PAK,ABW,PAK,3.4000000000000004,20071122,1,3.4,18,6.17848970251716,12.5,21.25,-69.9667,0.0166499999999985,2
ABW,PAN,ABW,PAN,4.0,20071129,1,4.0,4,5.78202995008319,11.5,9.75,-68.4417,-73.45835,2
ABW,SUR,ABW,SUR,-5.0,20071123,4,-5.0,11,3.1389902533690903,33.508,26.099633333333333,-50.47019333333333,-44.94316,3
ABW,USA,ABW,USA,-0.10727449078564506,20071224,4,0.13897435897435892,1031,4.1208440440736265,21.368160307692307,31.14018564102564,-65.89919979487179,-71.48755641025642,195
ABW,VEN,ABW,VEN,0.0,20071010,1,0.0,2,0.672645739910314,12.5,11.565850000000001,-69.9667,-70.80365,2
AFG,AFG,AFG,AFG,-3.1449327679218446,20071231,4,-2.4942481657188322,149036,3.92150132006092,34.31400746854465,34.23554393287562,59.36902131490703,59.16692888793941,33937
AFG,AFR,AFG,AFR,-3.07787610619469,20071225,4,-2.4028571428571426,113,4.296678542675445,27.840994285714284,20.325305714285715,54.03004971428572,50.58784457142857,35
AFG,AGO,AFG,AGO,-1.55,20070204,4,-1.55,8,4.77031802120141,34.3482,10.9241,62.1997,40.34985,4
AFG,ALB,AFG,ALB,3.4006944444444445,20071211,4,3.206666666666667,144,5.960908972833343,34.583997777777775,39.02898888888889,58.20334444444445,31.296573333333335,45
AFG,ARE,AFG,ARE,1.789041095890411,20071223,4,1.0640350877192981,365,4.882703647200881,33.709801754385964,28.760182807017543,62.36040759649123,54.72456812280702,114
AFG,ARG,AFG,ARG,2.5454545454545454,20071225,1,5.6,11,2.6675581876651675,22.143880000000003,-6.070139999999999,-15.712399999999999,-36.774119999999996,5
AFG,ARM,AFG,ARM,3.2666666666666666,20070316,1,3.85,27,6.247642503716528,37.1711375,42.564674999999994,65.2373375,43.210925,8
AFG,ASA,AFG,ASA,4.211363636363637,20071022,4,3.0294117647058822,44,6.858179327981275,35.465452941176466,34.06826470588235,61.838217647058826,66.09612352941177,17
AFG,AUS,AFG,AUS,-1.2694292984369322,20071231,4,-1.5160028964518464,5502,4.903931895706309,19.718123968139032,-11.897079297610427,77.44399237726286,111.89809940477916,1381
AFG,AUT,AFG,AUT,-3.757425742574257,20071212,4,-3.2098039215686276,101,4.195987094366805,37.92737450980392,46.35465882352942,45.67182745098039,17.242339215686275,51
AFG,AZE,AFG,AZE,3.15,20071105,4,2.50625,76,6.697840872269629,33.724185625,37.786473125,66.333134375,53.265334375,32
AFG,BEL,AFG,BEL,2.1920922570016472,20071227,3,1.529936305732484,607,4.102278122682389,34.76234585987261,46.08949363057325,58.00809509554141,16.519978808917198,157
AFG,BGD,AFG,BGD,-1.6982425307557116,20071209,4,-1.8305084745762712,569,6.012978422430855,32.79702485875706,27.49711299435028,66.92988210734462,79.25324350282486,177
AFG,BGR,AFG,BGR,4.002777777777777,20071129,3,3.9296296296296296,72,4.481313260759871,36.267722222222226,40.69965185185185,62.33095925925926,34.38320370370371,54
AFG,BHR,AFG,BHR,2.55531914893617,20071121,3,2.6,47,7.313171144907131,31.63352857142857,31.39305,60.84760214285715,44.12855428571429,14
AFG,BLR,AFG,BLR,3.2666666666666666,20070316,1,3.3600000000000003,27,6.0735760722447845,34.5167,46.817679999999996,69.1833,36.038120000000006,10
AFG,BMU,AFG,BMU,-1.28,20071011,4,-1.9142857142857144,10,6.01014899969485,34.40154285714286,33.8483,-15.716228571428573,-62.19345714285714,7
AFG,BOL,AFG,BOL,2.6484848484848484,20071106,1,2.4799999999999995,99,3.058699149077211,35.39238,25.08904,39.93936,13.102700000000002,5
AFG,BRA,AFG,BRA,0.5294117647058824,20070728,3,0.36,17,5.74648270428164,17.40372,17.40372,9.792939999999998,9.792939999999998,5
AFG,BRN,AFG,BRN,4.0,20070228,1,4.0,1,7.14285714285714,33.0,24.0,65.0,90.0,1
AFG,BTN,AFG,BTN,2.1048387096774195,20071008,3,1.9666666666666666,62,7.321186419988082,29.373333333333335,26.473333333333336,70.88000000000001,88.58,15
AFG,CAN,AFG,CAN,-2.647553503986572,20071231,4,-2.483995741660752,11915,4.399732141483751,38.528636912704044,45.072066032647264,17.01961958800568,-47.771434426898516,2818
AFG,CAS,AFG,CAS,2.375,20070910,1,2.12,8,4.804583377694642,33.910019999999996,37.14266,67.50998,82.94298,5
AFG,CHE,AFG,CHE,-0.11990521327014225,20071018,4,0.4214285714285714,211,4.6882562653650535,35.63584857142857,42.20552857142857,47.967185,23.503639714285715,70
