Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,CHE,ABW,CHE,1.9,19890910,1,1.9,7,5.46697038724374,9.395695,46.5,-72.7514,7.141665,2
ABW,COL,ABW,COL,2.0999999999999996,19890910,1,2.1999999999999997,9,5.46697038724374,8.360926666666666,6.29139,-73.67963333333334,-75.5361,3
ABW,ESP,ABW,ESP,1.9,19890910,1,1.9,7,5.46697038724374,9.395695,37.2261,-72.7514,-60.963665,2
ABW,FRA,ABW,FRA,1.9,19890910,1,1.9,7,5.46697038724374,9.395695,43.8915,-72.7514,-34.602535,2
ABW,USA,ABW,USA,-0.29375000000000007,19890910,3,-0.050000000000000044,16,5.437426531843685,18.4613975,25.401600000000002,-73.2355,-83.912475,4
AFG,AFG,AFG,AFG,-0.889705114822547,19891231,4,-0.6809615384615385,7664,3.632564656546634,31.348379490384616,31.23195314423077,58.70985157211538,59.30659987980769,2080
AFG,AFR,AFG,AFR,5.7125,19890529,2,5.533333333333334,16,8.036184587197981,37.5,37.833333333333336,70.83333333333333,24.333333333333332,6
AFG,AGO,AFG,AGO,5.418181818181818,19891207,2,4.4,11,7.255244755244755,45.13445,21.6261,53.39945,28.0578,2
AFG,AUT,AFG,AUT,2.8,19890207,1,2.8,5,4.87200660611065,34.5167,47.3333,69.1833,13.3333,1
AFG,BGD,AFG,BGD,5.185714285714285,19891217,1,4.038461538461538,28,3.016660893940694,30.446169230769232,25.719146153846154,63.558961538461546,73.9674076923077,13
AFG,BGR,AFG,BGR,4.95,19890829,1,4.95,12,4.747474747474745,38.0,40.5,45.0,35.0,4
AFG,BHR,AFG,BHR,4.428571428571429,19890313,1,3.4,7,3.44827586206897,34.5167,25.728160000000003,69.1833,49.79456,5
AFG,CAN,AFG,CAN,4.0,19890302,1,4.0,18,4.01267159450898,31.5,42.312525,67.5,-40.525000000000006,8
AFG,CHE,AFG,CHE,2.8549266247379452,19891129,4,2.763551401869159,477,3.9476327705952294,31.639548317757008,32.974020280373836,59.66417299065421,49.36528299065421,107
AFG,CHN,AFG,CHN,2.404,19891114,4,2.65,50,7.1174011417920955,34.630084999999994,33.818284999999996,79.041825,96.36125,20
AFG,CUB,AFG,CUB,2.7,19890601,1,2.9,15,4.314360295388207,33.50556666666667,25.8773,66.39443333333334,-32.45473333333333,3
AFG,CYP,AFG,CYP,0.5945945945945946,19890423,2,0.625,37,3.84405769580726,39.5112375,33.6356875,37.52251625,40.58736625,8
AFG,CZE,AFG,CZE,1.6684210526315788,19891215,1,1.7833333333333332,19,4.444444444444442,35.84721666666667,47.23608333333333,56.577783333333336,22.888916666666663,6
