Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,BLZ,ABW,BLZ,4.0,19901127,1,4.0,7,3.07017543859649,9.916666666666666,11.5,-52.905566666666665,-59.166666666666664,3
ABW,NLD,ABW,NLD,3.2,19900402,1,3.2,9,7.59911894273128,52.5,52.5,5.75,5.75,1
ABW,USA,ABW,USA,2.8000000000000003,19900611,1,2.8,7,3.26452232357177,21.803,8.89235,-83.80709999999999,-39.6239,2
ABW,VEN,ABW,VEN,4.0,19901127,1,4.0,7,3.07017543859649,9.916666666666666,6.833333333333333,-52.905566666666665,-45.32223333333334,3
AFG,AFG,AFG,AFG,-0.8400958466453674,19901229,4,-1.0718475073313782,2504,3.6878239756472886,31.108179032258064,31.151549853372433,58.91978870967741,58.82356627565983,682
AFG,AZE,AFG,AZE,-9.5,19900126,4,-9.5,1,5.49158547387068,39.2089,39.2089,45.4122,45.4122,1
AFG,BGD,AFG,BGD,2.8000000000000003,19900808,1,2.7999999999999994,14,6.301106301106304,34.5167,27.505566666666667,69.1833,83.0611,3
AFG,BGR,AFG,BGR,2.8666666666666667,19900505,1,2.2,9,6.727272727272725,43.0,43.0,25.0,25.0,2
AFG,CAN,AFG,CAN,1.8999999999999997,19901019,1,1.9,6,2.08333333333333,60.0,60.0,-95.0,-95.0,1
AFG,CHE,AFG,CHE,2.0127450980392156,19901214,3,2.524137931034483,102,5.568340891202555,31.730696551724137,34.279620689655175,60.01987655172414,45.8181124137931,29
AFG,CHN,AFG,CHN,3.1999999999999997,19901017,1,3.1999999999999997,9,7.319845419413476,33.50556666666667,33.666666666666664,66.39443333333334,78.33333333333333,3
AFG,COL,AFG,COL,7.0,19901025,2,7.0,2,5.5363321799308,35.2648,12.65345,69.4687,-114.929,2
AFG,CYP,AFG,CYP,3.5,19900807,1,3.5,7,9.75609756097561,33.0,35.0,65.0,33.0,3
AFG,CZE,AFG,CZE,1.9,19900108,1,1.9,2,7.43801652892562,50.0833,33.0,14.4667,65.0,2
AFG,DEU,AFG,DEU,3.5,19900105,1,3.5,9,9.52380952380952,33.0,46.01113333333333,65.0,30.600000000000005,3
AFG,EGY,AFG,EGY,-0.8,19900520,3,-0.050000000000000044,13,2.21001221001221,34.44585,31.375,63.72035,40.757400000000004,4
AFG,EUR,AFG,EUR,1.8999999999999997,19901223,1,1.9,9,5.26315789473684,34.6714,34.6714,70.2094,70.2094,1
AFG,FIN,AFG,FIN,2.3499999999999996,19900427,1,2.3499999999999996,26,8.41121495327103,33.0,51.25,65.0,45.75,8
AFG,FRA,AFG,FRA,2.292537313432836,19900905,3,2.3058823529411763,67,3.691283987162917,29.01018823529412,33.10917647058824,53.28549,25.679321176470587,17
AFG,GBR,AFG,GBR,0.6818181818181817,19901021,4,0.1999999999999999,44,3.799095724702025,34.48021,40.189659999999996,57.909929999999996,36.290265,20
AFG,GEO,AFG,GEO,2.7423728813559323,19901013,1,3.04,59,5.306854757105247,23.40334,30.77522,46.33666,49.761559999999996,10
AFG,IND,AFG,IND,1.7399999999999998,19901203,4,1.95,55,5.669580939990392,32.482935,29.52199,64.881315,69.34519,20
AFG,IRN,AFG,IRN,0.9240677966101694,19901127,4,0.7764044943820224,295,4.414451584852649,29.614857303370787,29.818350561797754,50.16791685393258,44.2388786516854,89
AFG,IRQ,AFG,IRQ,0.08181818181818179,19901220,3,-0.2833333333333334,33,4.300247071829363,33.562000000000005,33.29569166666666,57.71008333333333,48.04555833333333,12
AFG,ISR,AFG,ISR,-6.0,19901012,4,-6.0,12,6.63507109004739,32.38335,31.7667,50.11665,35.2333,4
AFG,ITA,AFG,ITA,3.069565217391304,19900611,3,1.4666666666666668,23,3.5860139270581235,28.511133333333333,32.00833333333333,56.955533333333335,28.84998333333333,6
AFG,JPN,AFG,JPN,2.7999999999999994,19901004,1,2.8,6,2.56410256410256,33.0,36.0,65.0,138.0,1
AFG,KAZ,AFG,KAZ,8.0,19901122,1,8.0,9,10.4166666666667,37.43165,43.25,71.33005,76.95,2
AFG,KHM,AFG,KHM,3.5071428571428576,19900809,2,4.133333333333334,84,7.526637943677238,32.860304166666666,22.595924999999998,54.10746666666666,78.89719166666667,24
AFG,KOR,AFG,KOR,1.9,19900923,1,1.9,1,5.71428571428571,34.5167,34.5167,69.1833,69.1833,1
AFG,KWT,AFG,KWT,5.915789473684211,19901210,2,5.083333333333333,38,3.849269555676985,29.883,28.699749999999998,55.9909,46.392425,12
AFG,LKA,AFG,LKA,7.0,19901021,1,7.0,15,0.564971751412429,3.46597,3.46597,39.9239,39.9239,2
AFG,MEX,AFG,MEX,3.0,19900316,1,3.0,4,5.04065040650407,28.0,28.0,-18.5,-18.5,2
AFG,MLI,AFG,MLI,0.0,19900101,1,0.0,5,1.53846153846154,30.5908,25.16975,68.24855,32.9602,2
AFG,MNG,AFG,MNG,8.0,19900825,1,8.0,7,2.63157894736842,47.9167,47.9167,106.917,106.917,1
AFG,NAM,AFG,NAM,3.4,19901007,1,4.0,15,6.403436988543375,37.57485,10.074850000000001,-4.969200000000001,-28.9692,8
AFG,NOR,AFG,NOR,0.0,19900117,1,0.0,4,2.02020202020202,34.5167,62.0,69.1833,10.0,1
AFG,PAK,AFG,PAK,0.9071925754060325,19901229,4,0.5563876651982379,1724,3.8316454038270664,30.42453215859031,29.51831101321586,60.47958129955948,61.16575398678414,454
AFG,PER,AFG,PER,1.0,19900118,1,1.0,19,1.5873015873015879,3.6666666666666665,37.16813333333334,27.333333333333332,25.077066666666667,3
AFG,POL,AFG,POL,3.4,19901019,1,3.5200000000000005,18,5.754010695187164,37.45668,44.45,57.87332,38.2,5
AFG,PRK,AFG,PRK,5.0649999999999995,19901122,1,3.54,20,2.635394456289978,34.40668,36.31778,79.17332,91.81197999999999,5
AFG,PSE,AFG,PSE,3.5,19900111,1,3.5,4,3.17460317460317,34.5167,34.5167,69.1833,69.1833,1
AFG,RUS,AFG,RUS,0.34231927710843374,19901229,4,0.11818181818181815,664,4.117044299773085,36.77925238095238,51.91621818181818,63.27014761904762,64.41135380952382,231
AFG,SAS,AFG,SAS,1.0,19900213,1,1.0,6,5.05836575875486,33.0,33.0,65.0,65.0,1
AFG,SAU,AFG,SAU,4.174025974025974,19901003,3,4.188888888888889,77,4.666194719185807,32.00185555555556,24.879672222222222,61.18703333333334,46.59831111111111,18
AFG,SEA,AFG,SEA,3.4,19900619,1,3.4,2,5.49618320610687,33.0,55.7522,65.0,37.6156,1
AFG,SWE,AFG,SWE,1.5399999999999998,19900127,1,1.5999999999999999,10,1.2033694344163666,43.8389,62.0,49.3111,15.0,3
AFG,SYR,AFG,SYR,6.1,19901124,1,4.3,20,6.585672392124005,28.0,27.6,30.4,35.8,5
AFG,TJK,AFG,TJK,0.20000000000000012,19901208,4,2.466666666666667,13,5.131657005680403,34.5167,38.63333333333333,69.1833,69.14491666666667,6
AFG,TKM,AFG,TKM,7.0,19901230,1,7.0,9,5.12562814070352,35.206,35.206,63.851,63.851,1
AFG,TUN,AFG,TUN,1.8999999999999997,19901117,1,1.9,6,5.0,34.0,34.5167,9.0,69.1833,1
AFG,UKR,AFG,UKR,6.0,19901202,2,6.0,5,3.592814371257485,16.5,25.21665,32.5,15.25835,2
AFG,URY,AFG,URY,1.0,19901007,1,1.0,9,3.19148936170213,33.0,-28.6,65.0,-26.8,5
AFG,USA,AFG,USA,2.387121212121212,19901222,4,1.8011627906976744,264,5.137493516913221,33.01648953488372,36.18902093023256,58.0463476744186,-15.261336046511627,86
AFG,UZB,AFG,UZB,4.253846153846154,19901031,1,5.0875,13,0.6666666666666674,34.493775,36.102075,69.337475,69.97085,8
AFG,VNM,AFG,VNM,0.7,19900623,3,0.7,4,6.201783211429515,33.0,13.94165,65.0,107.5835,2
AFG,YEM,AFG,YEM,-2.0,19900929,4,-1.0,8,4.66566113624937,21.505566666666667,28.011133333333333,55.0611,62.1222,6
AFR,AFR,AFR,AFR,1.6239004349927502,19901231,4,1.4300278035217795,4138,4.16709259690255,-20.897440934198332,-20.976495377201115,22.567278890639482,22.568685346617237,1079
AFR,AGO,AFR,AGO,1.8520264681555003,19901231,4,1.771326164874552,1209,4.803316280890746,-10.252621620071684,-7.820462544802867,11.974904050179212,11.16411806451613,279
AFR,ARG,AFR,ARG,4.527906976744186,19900831,1,3.4916666666666667,43,3.3376958958354286,-21.545691666666666,-24.32579166666667,23.487975000000002,-6.342891666666667,12
AFR,AUS,AFR,AUS,2.315923566878981,19901221,3,1.8,157,3.6399585077721097,-14.425806818181819,-15.774522727272727,30.433221954545456,85.84387497727273,44
AFR,AUT,AFR,AUT,4.347368421052632,19900422,2,4.45,19,5.27692642609221,-10.476075,28.900000000000002,2.0807750000000027,18.275025,4
AFR,BDI,AFR,BDI,1.591549295774648,19901012,3,1.3944444444444444,71,5.856133954235845,-2.777130555555556,-0.15399166666666694,24.642248333333335,25.533907777777777,18
AFR,BEL,AFR,BEL,4.909090909090909,19901016,1,4.39,33,5.553940203756558,-19.742917,35.35546,23.23266,7.939351,10
AFR,BEN,AFR,BEN,3.425316455696203,19901121,4,3.4285714285714284,79,6.135673020642678,13.086129285714284,11.139504285714285,-4.8539328571428575,2.486609285714286,14
