Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,HTI,ABW,HTI,-1.55,19930623,3,-0.4000000000000001,8,7.05521472392638,16.833333333333332,19.0,-71.60003333333334,-72.4167,3
ABW,NLD,ABW,NLD,3.4,19931209,1,3.4,1,5.43478260869565,12.5,9.08285,-69.9667,-74.3828,1
AFG,AFG,AFG,AFG,-0.00608642726719417,19931229,4,0.054904306220095685,3286,3.944067662204432,30.165241507177033,30.17572200956938,58.41738620334929,58.627113834928224,836
AFG,AFR,AFG,AFR,-8.0,19930719,4,-8.0,4,5.55555555555556,2.5,-25.7069,112.5,28.2294,1
AFG,ARE,AFG,ARE,1.8999999999999997,19931018,1,1.9,19,4.1208791208791204,16.5,16.5,32.5,32.5,2
AFG,ARM,AFG,ARM,0.4666666666666668,19931104,4,2.2,6,4.051247975414263,34.848825,37.6435,61.22055,49.396499999999996,4
AFG,ASA,AFG,ASA,2.737837837837838,19930819,1,2.6571428571428575,37,5.5385813016409395,25.548314285714287,24.808428571428575,47.072628571428574,36.54177142857143,7
AFG,AUS,AFG,AUS,-0.25,19931204,4,-0.1111111111111111,28,2.98759264431761,18.600007777777776,9.100255555555556,71.67781111111111,82.8074,9
AFG,AZE,AFG,AZE,2.136842105263158,19931104,1,2.44,19,5.546980735450802,39.879059999999996,37.458119999999994,68.97644,55.45288000000001,5
AFG,CAS,AFG,CAS,-4.162162162162162,19931024,4,-5.428571428571429,37,0.9964691819658561,24.221442857142854,30.21667142857143,48.22141428571428,54.59761428571429,7
AFG,CHE,AFG,CHE,0.3684210526315789,19930826,3,1.6666666666666667,19,4.8290082712103635,35.80883333333333,42.128683333333335,57.31716666666667,21.894418333333334,6
AFG,CHN,AFG,CHN,-2.1272727272727274,19930722,4,-2.2666666666666666,55,3.6281452195193467,32.840666666666664,32.49056111111111,71.02050000000001,86.51851111111111,18
AFG,DEU,AFG,DEU,-2.1,19930922,4,-0.24444444444444458,17,5.586999972830377,33.19434444444445,46.06666666666667,66.61773333333333,21.46111111111111,9
AFG,DZA,AFG,DZA,1.9,19930614,1,1.9,8,2.93040293040293,33.0,30.049525,65.0,25.2298,4
AFG,EGY,AFG,EGY,2.305325443786982,19931122,4,2.582075471698113,338,3.8361941377185955,29.86135,28.683896226415094,52.18741226415094,33.83031509433962,106
AFG,EUR,AFG,EUR,-1.8404494382022474,19930622,4,-1.9058823529411764,89,2.6206059477814936,22.40615882352941,22.433364705882354,47.64211176470588,47.33474705882353,17
AFG,FRA,AFG,FRA,-5.0,19931112,4,-5.0,6,6.62020905923345,34.5167,34.5167,69.1833,69.1833,1
AFG,GBR,AFG,GBR,1.24,19931004,4,0.04999999999999997,15,4.9225184051912025,33.0,49.65036666666666,65.0,10.691527666666667,6
AFG,IDN,AFG,IDN,3.4,19930113,1,3.4,17,3.555045871559635,16.45639,-4.63083,95.70725,80.12174999999999,4
AFG,IND,AFG,IND,0.34999999999999987,19930824,4,-3.9375,32,3.6228449179377833,29.63335,27.260437500000002,58.96665,64.5479125,8
AFG,IRN,AFG,IRN,1.5792329279700654,19931207,4,1.8828467153284671,1069,4.643307519700772,29.19571313868613,29.267748175182483,55.895948905109485,48.82944890510949,274
AFG,IRQ,AFG,IRQ,5.45,19930727,2,4.8,8,3.0560271646859065,32.5924,32.5924,57.33663333333334,57.33663333333334,3
AFG,ISR,AFG,ISR,-1.2404494382022473,19930917,3,0.3333333333333333,89,5.316507774372946,24.501391666666667,25.668058333333335,41.53610833333334,28.547219416666668,12
AFG,ITA,AFG,ITA,-0.9333333333333332,19930729,3,0.6000000000000001,12,9.519014334794475,33.75835,38.675,67.09165,41.0083,2
AFG,JOR,AFG,JOR,-0.17741935483870977,19930819,3,-0.2571428571428572,31,4.464268714741527,34.432942857142855,33.252878571428575,70.36091428571429,51.91990714285714,14
AFG,KAZ,AFG,KAZ,0.5736111111111111,19930819,4,-0.9952380952380954,72,1.613106829863366,33.70845238095238,41.28374761904762,60.84908095238095,65.51584285714286,21
AFG,KGZ,AFG,KGZ,0.2413793103448276,19930817,4,-1.75,29,2.9304012134282162,33.0,40.625,62.0,65.625,8
AFG,KWT,AFG,KWT,1.9,19930614,1,1.9,8,2.93040293040293,33.0,28.718275,65.0,42.55885,4
AFG,LKA,AFG,LKA,0.13846153846153847,19930708,1,0.13333333333333333,26,5.804311774461027,2.3333333333333335,2.3333333333333335,27.0,27.0,3
AFG,MDA,AFG,MDA,3.4,19931130,1,3.4,3,5.37444933920705,33.0,47.3333,65.0,29.25,1
AFG,MMR,AFG,MMR,8.3,19930315,2,8.3,4,2.61780104712042,16.8053,16.8053,96.1561,96.1561,1
AFG,MYS,AFG,MYS,0.4395061728395061,19931209,3,0.34736842105263155,81,4.914066252918624,0.7347257894736842,-1.288956842105263,80.40154736842105,82.90244210526316,19
AFG,NLD,AFG,NLD,-5.428571428571429,19930509,4,-4.833333333333333,14,4.813947436898257,39.0,52.0,46.333333333333336,6.833333333333333,3
AFG,NOR,AFG,NOR,2.7999999999999994,19930506,1,2.8,9,4.91803278688525,33.0,47.5,65.0,37.5,4
AFG,NZL,AFG,NZL,-5.0,19931115,4,-5.0,9,5.10204081632653,38.0,38.0,-97.0,-97.0,1
AFG,PAK,AFG,PAK,2.264705882352941,19931227,4,2.0203821656050955,2533,4.824788824004512,30.141562101910832,29.228463535031846,58.88999638535032,61.67858555732484,628
AFG,PGS,AFG,PGS,1.0,19930923,1,1.0,9,6.14334470989761,34.375,34.375,58.257400000000004,58.257400000000004,2
AFG,PSE,AFG,PSE,3.8399999999999994,19931126,2,3.8285714285714287,30,7.524291087015011,33.180957142857146,15.692862857142858,55.0283,85.22618571428572,7
AFG,RUS,AFG,RUS,-0.6732963549920761,19931224,4,-1.0376623376623377,1262,3.6129859811051803,35.37650831168831,48.66677818181819,62.76779558441559,63.977094025974026,385
AFG,SAS,AFG,SAS,2.1739130434782608,19931109,1,2.1333333333333333,23,8.1100757134537,33.6778,32.702783333333336,63.78886666666667,59.05833333333334,6
AFG,SAU,AFG,SAU,2.581180811808118,19931216,4,3.160227272727273,271,6.138925793100387,29.029977272727272,25.743817045454545,56.726831818181815,47.48156363636363,88
AFG,SDN,AFG,SDN,2.8,19930312,1,2.8,9,2.90697674418605,33.0,31.5537,65.0,25.1579,1
AFG,SEA,AFG,SEA,1.0,19930724,1,1.0,3,9.46502057613169,35.0,35.0,105.0,105.0,1
AFG,SOM,AFG,SOM,-1.5,19931126,3,-0.6666666666666666,12,5.42955326460481,34.15,19.333333333333332,63.22716666666667,48.0,3
AFG,SYR,AFG,SYR,1.8999999999999997,19930812,1,1.9,9,3.8917089678511,34.5167,34.00835,69.1833,52.74165,2
AFG,TJK,AFG,TJK,1.213423180592992,19931225,4,1.3400383141762453,1855,3.615028402596164,33.587761494252874,35.729326436781605,62.08425977011494,62.88098256704981,522
AFG,TKM,AFG,TKM,5.639772727272727,19931216,2,5.5249999999999995,88,4.87582278017035,32.139289285714284,35.966075000000004,60.30059285714286,60.27916071428571,28
AFG,TUN,AFG,TUN,1.9,19930614,1,1.9,8,2.93040293040293,33.0,32.25,65.0,21.5,4
AFG,TUR,AFG,TUR,1.549645390070922,19931119,4,1.7410256410256413,141,5.2688215946278465,33.129851282051284,36.95791025641026,55.03248033333333,36.72773589743589,39
AFG,UKR,AFG,UKR,2.35,19931108,1,1.5999999999999999,12,5.415905099810057,41.6285,47.439600000000006,57.9663,46.47186666666666,3
AFG,USA,AFG,USA,-0.6615686274509803,19931119,4,0.2535211267605634,255,5.282570784498412,35.18022394366197,36.46288169014084,55.01881267605634,-2.1113352112676043,71
AFG,UZB,AFG,UZB,1.6851528384279477,19931113,4,1.3078947368421054,229,4.166297264660656,34.18403815789473,37.684664473684215,64.1547697368421,62.07935394736842,76
AFG,YEM,AFG,YEM,1.9000000000000001,19931129,1,1.9,9,6.23409669211196,29.6045,29.6045,42.0166,42.0166,2
AFR,AFR,AFR,AFR,0.3811360448807854,19931231,4,0.14371727748691096,2852,4.453755768530278,-22.143088159685863,-22.51713380104712,23.91462513089005,24.164808154450263,764
AFR,AGO,AFR,AGO,0.06633663366336637,19931218,4,0.00754716981132076,1010,4.317406018331723,-13.620223660377357,-6.945497245283018,17.367948905660377,13.997199811320755,265
AFR,AND,AFR,AND,4.0,19931112,1,4.0,14,6.85714285714286,28.75,28.75,20.25,20.25,4
AFR,ARE,AFR,ARE,-2.230769230769231,19930215,4,-2.0,13,5.358736942070273,-25.871266666666667,8.004,28.1807,45.9587,3
AFR,ARG,AFR,ARG,2.179310344827586,19930919,1,2.1857142857142855,29,5.2374086255087215,-27.766435714285713,-31.86292142857143,13.143414285714286,-55.17892142857143,14
AFR,AUS,AFR,AUS,1.2167938931297708,19931206,4,0.5303030303030303,131,4.428315586196126,-19.580140606060606,-18.258939393939393,52.35154545454546,89.36398787878787,33
AFR,AUT,AFR,AUT,-1.0478873239436621,19931028,3,0.7866666666666667,71,4.520028282820274,3.6069200000000006,37.40607333333333,6.684926666666667,-9.625466666666666,15
AFR,BDI,AFR,BDI,2.43609022556391,19931207,4,2.2043478260869565,266,6.4456226401663095,2.9290997826086955,-0.2862317391304347,34.26837173913044,20.551372391304348,46
AFR,BEL,AFR,BEL,0.21304347826086956,19931008,4,0.4466666666666666,69,4.884515645878875,7.1891818,23.452640466666665,21.489046666666663,15.725204,15
AFR,BEN,AFR,BEN,1.9150943396226414,19931003,3,1.952173913043478,106,5.118667354907904,7.573831739130434,8.880784782608696,3.7615973913043477,-0.23900956521739133,23
AFR,BFA,AFR,BFA,2.662,19930712,4,0.42105263157894735,100,4.912025421247629,13.649894736842105,13.307789473684212,-3.093702105263158,-3.488438947368421,19
AFR,BHR,AFR,BHR,4.138461538461538,19931117,1,3.84,13,3.44970452937459,-27.193939999999998,5.2890999999999995,25.39778,40.501760000000004,5
AFR,BHS,AFR,BHS,1.9,19931018,1,1.9,2,3.2,-29.0,24.25,24.0,-76.0,1
AFR,BLR,AFR,BLR,8.0,19930429,1,8.0,2,8.62124636745237,9.9622,53.0,27.05675,28.0,2
AFR,BRA,AFR,BRA,-2.685714285714286,19930616,4,-4.88,21,3.965728274173806,1.566640000000001,4.326680000000001,1.4999999999999993,-31.946652,5
AFR,BRB,AFR,BRB,2.8,19931007,1,2.7999999999999994,13,4.06091370558376,-26.2,13.1,28.083299999999998,-59.6167,3
AFR,BWA,AFR,BWA,3.7939759036144576,19931118,1,3.6217391304347823,83,3.518860645938239,-19.027465217391306,-19.294321739130435,25.359969565217394,25.262686956521737,23
AFR,CAF,AFR,CAF,-7.5,19930212,4,-7.5,8,3.8560411311054,46.0,26.5,2.0,11.5,4
AFR,CAN,AFR,CAN,2.0430379746835445,19931224,3,2.325,79,3.832017145460627,-3.2194875,42.6333375,7.326675,-71.8187125,16
AFR,CHE,AFR,CHE,2.529032258064516,19931110,1,2.8238095238095235,93,4.170837698110052,-3.231119047619047,13.274676190476193,17.53406761904762,17.218762857142856,21
AFR,CHL,AFR,CHL,2.77,19930823,1,3.025,30,2.7791762705017087,-23.7962125,-26.625,-0.8555625,-60.25,8
AFR,CHN,AFR,CHN,4.503703703703703,19931128,2,4.3375,54,4.673814097097829,-5.22095,36.947775,50.29281875,103.4812,16
AFR,CIV,AFR,CIV,0.4885964912280702,19931201,4,0.4640000000000001,114,5.700256961216853,5.4546776,10.125967600000001,-9.457784799999999,-7.7281528,25
AFR,CMR,AFR,CMR,0.26875,19931214,3,0.8571428571428571,128,4.963257025454602,10.85761619047619,11.463492380952381,16.212857142857143,8.90635238095238,21
AFR,COD,AFR,COD,1.1558635394456291,19931203,4,1.1597014925373135,469,4.819390064230593,1.1357873134328358,2.113716119402985,7.82512223880597,8.408296865671641,67
AFR,COG,AFR,COG,1.028804347826087,19931214,4,1.8617647058823528,184,5.522139962598931,-3.050518235294118,-0.3740476470588239,10.830321176470589,10.521497647058824,34
AFR,COL,AFR,COL,2.8000000000000003,19930624,1,2.8,19,0.64102564102564,4.13383,4.13383,-38.1385,-38.1385,2
AFR,COM,AFR,COM,3.6,19930630,1,3.7,3,5.234445344007025,5.0249999999999995,-12.1667,40.441649999999996,44.25,2
AFR,CPV,AFR,CPV,4.923076923076923,19930819,1,1.3333333333333333,13,4.455842471406673,14.305566666666666,14.305566666666666,-17.172233333333335,-17.172233333333335,3
AFR,CUB,AFR,CUB,-2.22741935483871,19930803,4,-0.985,62,5.810512681545424,-25.2382815,9.49813,23.90231,-32.471515,20
AFR,CYP,AFR,CYP,1.4615384615384615,19931023,1,2.0,13,4.76741554976921,17.383233333333333,35.00556666666667,-9.646133333333333,33.055566666666664,3
AFR,CZE,AFR,CZE,8.0,19930820,1,8.0,4,6.66666666666667,49.75,49.75,15.5,15.5,1
AFR,DEU,AFR,DEU,1.8925,19931217,3,2.4529411764705884,80,5.031001285929801,-1.0251311764705877,39.01931588235294,21.27461764705882,11.602017647058824,17
AFR,DJI,AFR,DJI,-3.1045871559633027,19930729,4,-2.9823529411764707,109,4.740897148269825,13.60844705882353,17.612952941176474,40.93171941176471,36.52998176470588,17
AFR,DNK,AFR,DNK,4.8999999999999995,19930527,2,4.9,14,8.959631360332295,-12.35345,28.5,33.1147,24.0,2
AFR,DZA,AFR,DZA,0.10565476190476189,19931110,4,0.512962962962963,336,3.741452532118881,29.914192592592595,30.49780185185185,4.413951222222222,2.846041425925926,54
AFR,EGY,AFR,EGY,2.9535087719298247,19931228,3,2.9641025641025642,1026,4.243914057669742,11.60320674871795,19.376600656410258,25.07141364102564,26.33243569230769,195
AFR,ERI,AFR,ERI,2.719047619047619,19931112,3,2.608695652173913,105,6.309947516154926,15.166717391304347,15.092586956521739,35.2245,38.45514347826087,23
AFR,ESP,AFR,ESP,1.6149999999999998,19930829,3,2.0307692307692307,40,5.575964310685842,5.538723846153847,25.59216923076923,8.418668461538461,-0.4168086153846154,13
AFR,EST,AFR,EST,-5.0,19930829,4,-5.0,9,0.0,59.3567,59.3567,24.0531,24.0531,1
AFR,ETH,AFR,ETH,2.9254761904761906,19931217,4,2.632142857142857,420,5.251982051393282,5.1631515,7.025014178571428,34.826438452380955,33.40567297619048,84
AFR,EUR,AFR,EUR,1.2443396226415095,19931230,4,1.5261904761904763,212,5.346041064433715,0.42352626190476206,5.101031023809524,12.423009523809522,7.986753095238095,42
AFR,FIN,AFR,FIN,3.142857142857143,19930421,4,3.0,28,5.260821309655934,11.666666666666666,11.666666666666666,16.666666666666668,16.666666666666668,3
AFR,FRA,AFR,FRA,1.37423887587822,19931209,4,1.7163265306122448,427,5.136726311921468,19.051562653061225,30.982891224489794,8.785662244897958,7.07343081632653,98
AFR,FSM,AFR,FSM,0.0,19930918,1,0.0,3,6.66666666666667,51.0,51.0,9.0,9.0,1
AFR,GAB,AFR,GAB,-0.7657142857142857,19931211,3,0.47777777777777775,35,5.196570511135435,21.03605922222222,7.885499888888889,-7.751766666666665,3.303766666666667,9
AFR,GBR,AFR,GBR,-0.19108635097493043,19931220,4,-0.36730769230769234,359,5.2025020363055585,1.1039172115384615,29.960258653846154,15.902777932692308,6.248528721153846,104
AFR,GEO,AFR,GEO,6.0,19930427,1,6.0,3,4.16666666666667,-25.7069,60.0,28.2294,100.0,1
AFR,GHA,AFR,GHA,2.3021126760563377,19931211,4,1.996551724137931,142,4.469916310345742,2.9192827586206898,4.482206896551723,13.989448206896553,8.926632103448275,29
AFR,GIN,AFR,GIN,2.1283582089552238,19930414,4,2.175,67,4.139006481091086,8.22722375,8.6661125,-9.59999125,-9.7786375,8
AFR,GMB,AFR,GMB,0.4,19930111,1,0.4,1,1.86046511627907,13.4667,13.4667,-16.5667,-16.5667,1
AFR,GNB,AFR,GNB,-3.25,19930711,3,-3.25,8,3.59848484848485,11.925,11.925,-15.29165,-15.29165,2
AFR,GNQ,AFR,GNQ,-5.5,19930716,4,-5.5,16,4.294839755240518,22.15185,22.15185,-13.349425,-13.349425,4
AFR,GRC,AFR,GRC,1.0,19930823,1,1.0,2,1.8348623853211,38.0,39.0,-97.0,22.0,1
AFR,GRD,AFR,GRD,-4.052631578947368,19930622,4,-4.142857142857143,19,5.283790414660522,-10.318342857142856,12.05,12.803157142857144,-61.75,7
AFR,GTM,AFR,GTM,6.0,19930415,1,6.0,13,9.003831417624514,10.75,24.07485,-39.125,-31.4692,2
AFR,HUN,AFR,HUN,1.257142857142857,19930219,1,1.3599999999999999,14,8.33333333333333,-16.2612,17.57764,19.55604,21.012040000000002,5
