Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,ABW,ABW,ABW,1.6249999999999998,20010619,0.0,0.6,0.2,0.2,-0.18000000000000008,16,6.899622715228503,36.50668,36.50668,-24.563319999999997,-24.563319999999997,5
ABW,BGR,ABW,BGR,-10.0,20010706,0.0,0.0,0.0,1.0,-10.0,13,4.820070646683551,27.59165,42.6833,-23.325000000000003,23.3167,4
ABW,CRI,ABW,CRI,2.8000000000000003,20010624,0.0,1.0,0.0,0.0,2.8,48,3.4180966666559174,12.5,10.0,-69.9667,-84.0,8
ABW,IRL,ABW,IRL,-5.0,20010823,0.0,0.0,0.0,1.0,-5.0,2,3.78571428571428,12.5167,53.3331,-70.0333,-6.24889,1
ABW,NLD,ABW,NLD,4.963888888888889,20011011,0.3125,0.5625,0.0,0.125,4.36875,36,6.293410505199997,22.5323125,43.9864625,-65.02811249999999,-29.08854375,16
ABW,PER,ABW,PER,2.8325581395348833,20010628,0.0,1.0,0.0,0.0,2.8666666666666663,129,3.9295950520060168,11.949475185185186,0.30296259259259245,-47.428444444444445,-52.50627407407407,27
ABW,PRT,ABW,PRT,1.9,20010901,0.0,1.0,0.0,0.0,1.9,8,1.91734417344173,12.5,14.6667,-69.9667,-61.0,1
ABW,USA,ABW,USA,1.3384615384615384,20011011,0.0,1.0,0.0,0.0,1.6857142857142857,26,5.761431275253149,36.73388857142857,31.021988571428572,-43.50562857142857,-54.33181428571429,7
ABW,VEN,ABW,VEN,2.8,20010420,0.0,1.0,0.0,0.0,2.8,7,3.05676855895197,12.5,10.5,-69.9667,-66.9167,1
AFG,AFG,AFG,AFG,0.12177812785852218,20011231,0.15088082901554403,0.5423834196891192,0.10103626943005181,0.20569948186528497,0.07530569948186527,39356,5.2534523715010035,34.72403680103627,34.671503647668395,56.020828297098454,56.59600324093264,9650
AFG,AFR,AFG,AFR,2.494074074074074,20011221,0.06451612903225806,0.9354838709677419,0.0,0.0,2.806451612903226,135,6.467257871883567,27.122093548387095,-0.7064032258064515,61.91273870967742,43.39028387096774,31
AFG,AGO,AFG,AGO,2.8,20010912,0.0,1.0,0.0,0.0,2.8,8,6.49651972157773,33.0,10.25,65.0,41.75,2
AFG,ALB,AFG,ALB,2.1769230769230767,20011030,0.0,1.0,0.0,0.0,2.5,13,4.749660751147413,33.498733333333334,44.666666666666664,49.647600000000004,-10.333333333333334,3
AFG,ARE,AFG,ARE,2.293854748603352,20011218,0.07407407407407407,0.8055555555555556,0.046296296296296294,0.07407407407407407,2.3296296296296295,358,6.133274725938083,32.66699537037037,28.822980555555553,61.56505000000001,55.43113916666667,108
AFG,ARG,AFG,ARG,1.2333333333333334,20011215,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,0.0999999999999999,15,5.234365968024035,15.120842857142858,-4.322614285714286,31.080114285714284,-5.6135714285714275,7
AFG,ARM,AFG,ARM,-0.13714285714285723,20011009,0.0,0.8181818181818182,0.18181818181818182,0.0,0.718181818181818,35,5.5233887154617625,34.82510909090909,38.31762727272727,48.40701818181819,50.023509090909094,11
AFG,ASA,AFG,ASA,1.5388888888888888,20011129,0.0,1.0,0.0,0.0,2.8833333333333333,36,7.5595601459189625,32.666666666666664,34.4,64.83333333333333,66.88889999999999,6
AFG,AUS,AFG,AUS,-0.8426023084994754,20011230,0.09022556390977443,0.5225563909774437,0.045112781954887216,0.34210526315789475,-0.41842105263157897,953,5.29023934746677,22.396738045112784,-12.991221616541353,75.21006090225563,111.40239248120301,266
AFG,AUT,AFG,AUT,1.7243697478991595,20011231,0.027777777777777776,0.8611111111111112,0.0,0.1111111111111111,1.5305555555555557,119,4.066140120457292,34.49214166666667,42.307861111111116,62.749527777777786,29.657266666666672,36
AFG,AZE,AFG,AZE,2.0952941176470588,20011208,0.047619047619047616,0.8571428571428571,0.0,0.09523809523809523,1.3785714285714286,170,4.33728718118152,33.81537857142857,37.877811904761906,63.307630952380954,53.53131666666666,42
AFG,BDI,AFG,BDI,1.0,20010308,0.0,1.0,0.0,0.0,1.0,6,3.52070524517381,34.5167,-3.37611,69.1833,29.36,2
AFG,BEL,AFG,BEL,2.662962962962963,20011222,0.08333333333333333,0.9047619047619048,0.0,0.011904761904761904,2.357142857142857,270,5.660748264671554,35.471314285714286,45.95001071428572,55.18359432142857,19.450556785714287,84
AFG,BGD,AFG,BGD,1.9541666666666666,20011219,0.28125,0.46875,0.125,0.125,1.765625,120,4.720905179608681,34.067665625000004,24.826425,64.34491875,69.851653125,32
