Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,ABW,ABW,ABW,-4.0,20001027,0.0,0.0,0.0,1.0,-4.0,6,2.23880597014925,38.0,12.5167,-97.0,-70.0333,1
ABW,CRI,ABW,CRI,2.661538461538461,20001222,0.0,1.0,0.0,0.0,2.65,13,2.578962911504125,5.316488333333333,5.651910000000001,-77.60861666666666,-84.56665,6
ABW,LBR,ABW,LBR,2.7999999999999994,20001216,0.0,1.0,0.0,0.0,2.8,6,4.711716180532022,6.75757,5.25757,-70.806,-55.689325,4
ABW,NLD,ABW,NLD,-4.0,20001011,0.0,0.0,0.0,1.0,-4.0,4,5.5793991416309,12.5,52.5,-69.9667,5.75,1
ABW,PER,ABW,PER,2.8,20001216,0.0,1.0,0.0,0.0,2.7999999999999994,11,3.8798240926369765,6.343426666666667,-7.107499999999999,-72.408,-79.5889,6
ABW,USA,ABW,USA,4.0,20001011,0.0,1.0,0.0,0.0,4.0,4,5.5793991416309,12.5,41.85,-69.9667,-87.6501,2
ABW,VEN,ABW,VEN,2.35,20001216,0.0,1.0,0.0,0.0,2.3499999999999996,6,3.15091210613599,10.856684999999999,9.404065,-66.71995,-68.8146,4
AFG,AFG,AFG,AFG,0.9469600463231036,20001231,0.13208901651112706,0.6310122038765255,0.07824838478104809,0.15865039483129936,0.9012921751615219,5181,4.561471957624783,34.23920905958364,34.13531824838478,63.0045166051687,63.20713558147882,1393
AFG,AFR,AFG,AFR,-7.429166666666666,20001208,0.0,0.0967741935483871,0.0,0.9032258064516129,-8.77741935483871,72,3.0163806549695242,30.568826451612907,35.332796774193554,57.97755483870968,-24.2285,31
AFG,ARE,AFG,ARE,0.38536585365853654,20001224,0.0,0.7272727272727273,0.030303030303030304,0.24242424242424243,-0.06212121212121217,164,4.562435404881352,31.743618181818185,26.87243939393939,61.86819696969697,57.931812121212126,66
AFG,ASA,AFG,ASA,2.5,20000622,0.0,1.0,0.0,0.0,2.5,22,5.86850030842919,34.75835,35.75,69.38329999999999,51.5148,4
AFG,AUS,AFG,AUS,0.6370967741935484,20001218,0.1,0.75,0.0,0.15,0.9,62,3.5208743369694124,25.460001499999997,-19.709148,70.081665,129.780165,20
AFG,AUT,AFG,AUT,7.0,20000601,0.0,1.0,0.0,0.0,7.0,7,1.89274447949527,33.0,38.125,65.0,70.975,2
AFG,AZE,AFG,AZE,-1.9318181818181819,20001221,0.2,0.4,0.0,0.4,-1.4600000000000002,22,6.577129457431974,33.10668,37.0,58.22332,46.05,5
AFG,BDI,AFG,BDI,2.0,20000925,0.0,0.8333333333333334,0.16666666666666666,0.0,2.3333333333333335,29,7.935156187765017,34.5167,-3.5,69.1833,30.0,6
AFG,BEL,AFG,BEL,1.9,20000306,0.0,1.0,0.0,0.0,1.9,7,5.27210884353742,33.0,50.8333,65.0,4.0,2
AFG,BGD,AFG,BGD,1.0,20000625,0.0,1.0,0.0,0.0,1.0,4,4.93421052631579,33.0,25.8994,65.0,89.0193,1
AFG,BGR,AFG,BGR,3.4,20000115,0.0,1.0,0.0,0.0,3.4,5,2.0,37.98336666666666,40.888866666666665,53.96110000000001,24.7222,3
AFG,BLR,AFG,BLR,1.0,20001130,0.0,1.0,0.0,0.0,1.0,18,3.56849033319622,33.0,53.9,65.0,27.5667,1
AFG,CAN,AFG,CAN,1.0,20000603,0.0,1.0,0.0,0.0,1.0,25,6.073456764060125,33.75835,51.0,67.09165,-57.75,4
AFG,CHE,AFG,CHE,2.0879310344827586,20001221,0.0,0.9130434782608695,0.08695652173913043,0.0,1.908695652173913,116,5.266781792268001,35.177313043478264,39.89922173913043,62.663717391304345,41.54837739130435,23
AFG,CHL,AFG,CHL,3.4000000000000004,20000118,0.0,1.0,0.0,0.0,3.4,9,13.3757961783439,-33.45,-33.45,-70.6667,-70.6667,2
AFG,CHN,AFG,CHN,2.3342036553524803,20001225,0.05714285714285714,0.8476190476190476,0.0380952380952381,0.05714285714285714,2.040952380952381,383,5.9914657568185845,34.173990476190475,34.61947238095238,67.74017428571429,90.04648857142858,105
