Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,ESP,ABW,ESP,-5.0,19960713,0.0,0.0,0.0,1.0,-5.0,3,1.17647058823529,12.5167,28.0,-70.0333,-15.5,1
ABW,GBR,ABW,GBR,-5.0,19960713,0.0,0.0,0.0,1.0,-5.0,4,2.12765957446809,12.5167,54.5,-70.0333,-6.5,1
ABW,JPN,ABW,JPN,2.8,19960606,0.0,1.0,0.0,0.0,2.8,2,3.93811533052039,24.0925,35.685,34.89215,139.751,2
ABW,NLD,ABW,NLD,2.6666666666666665,19961125,0.0,1.0,0.0,0.0,3.0,27,5.41125541125541,32.335725,42.298225,-32.669247500000004,-13.948405000000001,4
ABW,USA,ABW,USA,-10.0,19960212,0.0,0.0,0.0,1.0,-10.0,3,3.41880341880342,12.5667,42.1497,-70.0333,-74.9384,1
ABW,VEN,ABW,VEN,2.221428571428571,19960807,0.0,1.0,0.0,0.0,2.125,28,0.842696629213485,12.0614125,14.38585,-69.67490000000001,-71.90820000000001,8
AFG,AFG,AFG,AFG,-0.44917771883289126,19961231,0.07982791586998088,0.595602294455067,0.09273422562141491,0.23183556405353728,-0.14445506692160612,7540,4.511782845837679,33.39191978967495,33.368412997131934,64.70777643403441,64.41869545889102,2092
AFG,AFR,AFG,AFR,0.19999999999999987,19961225,0.0,0.8888888888888888,0.0,0.1111111111111111,0.6222222222222222,36,5.7987624550990455,34.2278,32.11297777777778,44.059244444444445,45.01851111111111,9
AFG,ARE,AFG,ARE,1.381578947368421,19961027,0.3,0.6,0.0,0.1,1.64,76,3.0854816722154164,37.693805,31.814774999999997,56.396765,53.330495,20
AFG,ARG,AFG,ARG,1.3578947368421053,19961017,0.1,0.5,0.0,0.4,1.28,38,4.60408313390593,26.9401,-0.6157199999999996,39.21449,-30.75821,10
AFG,ARM,AFG,ARM,4.674193548387097,19961120,0.0,1.0,0.0,0.0,4.014285714285714,31,5.361960412665108,36.11685,40.929342857142856,61.385335714285716,49.68774285714286,14
AFG,ASA,AFG,ASA,1.0,19960206,0.0,1.0,0.0,0.0,1.0,18,5.717086969799246,33.50556666666667,33.50556666666667,66.39443333333334,66.39443333333334,3
AFG,AUS,AFG,AUS,-7.85,19961017,0.0,0.0,0.8,0.2,-6.56,16,3.323081106357132,34.616679999999995,34.5167,69.18144,69.1833,5
AFG,AZE,AFG,AZE,3.088461538461538,19961120,0.0,1.0,0.0,0.0,3.0749999999999997,26,3.7981971477608667,32.489425000000004,37.833333333333336,67.21669166666668,51.416666666666664,12
AFG,BDI,AFG,BDI,3.0,19960407,0.0,1.0,0.0,0.0,3.0,4,11.214953271028,14.75,-3.5,47.5,30.0,2
AFG,BEL,AFG,BEL,-5.0,19961006,0.0,0.0,1.0,0.0,-5.0,4,6.08108108108108,41.916650000000004,50.8333,34.666665,4.33333,2
AFG,BGD,AFG,BGD,4.0,19961003,0.0,1.0,0.0,0.0,4.0,9,4.91228070175439,33.0,28.5,65.0,77.5,2
