Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,NLD,ABW,NLD,-2.611267605633803,19851231,0.0,0.5,0.0,0.5,-1.5999999999999999,71,4.860958115975666,19.058025,17.959533333333333,-50.804808333333334,-50.642516666666666,12
ABW,USA,ABW,USA,3.7600000000000002,19851123,0.0,0.75,0.25,0.0,2.8,30,4.923561193467835,18.875,10.828882499999999,-76.725025,-66.48297500000001,4
ABW,VEN,ABW,VEN,1.8999999999999997,19850611,0.0,1.0,0.0,0.0,1.9,9,3.93790457923759,12.5,10.5,-69.9667,-66.9167,2
AFG,AFG,AFG,AFG,-2.8047402924861324,19851231,0.107981220657277,0.3755868544600939,0.11580594679186229,0.40062597809076683,-2.7341158059467916,1983,3.4197487384103007,35.44260766823161,34.780096087636934,64.11825796400626,63.53309019248827,639
AFG,AGO,AFG,AGO,3.4755555555555557,19851025,0.0,0.9090909090909091,0.0,0.09090909090909091,3.3636363636363638,45,5.560661619353422,32.1029,-2.8061909090909087,51.60325454545455,21.421436363636364,11
AFG,AUS,AFG,AUS,1.5222222222222224,19851231,0.25,0.5,0.25,0.0,1.7,27,4.220188500980562,32.327025,-4.7458374999999995,63.34395,96.0188375,8
AFG,AUT,AFG,AUT,-0.3384615384615385,19851203,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,-0.5333333333333333,13,5.320076076577975,37.913333333333334,47.199983333333336,72.20898333333334,36.89443333333333,6
AFG,BGR,AFG,BGR,3.396969696969697,19850722,0.0,1.0,0.0,0.0,3.942857142857143,33,4.660968904026534,37.800000000000004,42.67617142857143,48.92857142857143,29.038114285714283,7
AFG,BLR,AFG,BLR,-10.0,19851112,0.0,0.0,0.0,1.0,-10.0,3,4.81927710843374,34.5167,34.5167,69.1833,69.1833,1
AFG,BRA,AFG,BRA,1.9,19851001,0.0,1.0,0.0,0.0,1.9,4,2.76729559748428,34.5167,12.25835,69.1833,7.091650000000001,2
AFG,CAN,AFG,CAN,4.181818181818182,19850529,0.0,1.0,0.0,0.0,4.785714285714286,22,4.2956691690868904,37.33367142857143,42.37652857142857,64.0760142857143,11.252214285714286,14
AFG,CHE,AFG,CHE,2.57909604519774,19851218,0.0,0.75,0.13636363636363635,0.11363636363636363,1.9522727272727274,177,5.014249213466609,32.28222954545455,34.59242272727273,41.191984090909095,36.178371363636366,44
AFG,CHN,AFG,CHN,-0.6423841059602649,19851227,0.125,0.3958333333333333,0.2916666666666667,0.1875,-0.35000000000000003,151,4.240369322601533,35.2181625,38.61936875,71.54117291666667,101.82945416666666,48
AFG,CUB,AFG,CUB,4.0,19850531,0.0,1.0,0.0,0.0,4.0,5,3.17460317460317,33.0,4.5,65.0,-30.75,2
AFG,CZE,AFG,CZE,-0.5642857142857143,19850930,0.0,0.5,0.0,0.5,-1.55,14,3.378378378378375,35.779175,49.916650000000004,60.708325,14.98335,4
AFG,DEU,AFG,DEU,0.38358208955223877,19851228,0.0,0.8214285714285714,0.14285714285714285,0.03571428571428571,0.6214285714285713,67,6.133673041625207,35.19262142857143,43.411907142857146,59.46986428571428,21.147017857142856,28
AFG,EGY,AFG,EGY,6.209090909090909,19851115,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,5.066666666666666,22,3.7638053562937888,27.501855555555558,14.833333333333334,46.575922222222225,27.833333333333332,9
AFG,ETH,AFG,ETH,5.422222222222222,19851025,0.0,1.0,0.0,0.0,4.725,18,5.438339033884898,33.0,8.0,65.0,38.0,4
AFG,FIN,AFG,FIN,-10.0,19851227,0.0,0.0,0.0,1.0,-10.0,8,2.94117647058824,33.0,60.1756,65.0,24.9342,1
AFG,FRA,AFG,FRA,-3.6727272727272724,19851001,0.0,0.5714285714285714,0.0,0.42857142857142855,-0.7714285714285715,22,3.35280125930924,34.93582857142857,40.654314285714285,56.48892857142857,-45.528191428571425,7
AFG,GBR,AFG,GBR,2.7,19851226,0.21428571428571427,0.7142857142857143,0.07142857142857142,0.0,2.8285714285714287,134,5.879532158820377,30.502385714285715,40.6631,50.63332857142858,17.291066607142856,28
AFG,GRD,AFG,GRD,-9.5,19850605,0.0,0.0,0.0,1.0,-9.5,20,7.411727975766061,35.723775,20.375025,-11.0091,7.770825000000002,4
