Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,ABW,ABW,ABW,-3.408,20041216,4,-1.83,75,6.74251916105335,15.1262,15.1262,-70.59862,-70.59862,10
ABW,BEL,ABW,BEL,-5.0,20040204,4,-5.0,9,3.18840579710145,52.3,52.3,4.75,4.75,1
ABW,COL,ABW,COL,-1.7000000000000002,20040909,3,0.39999999999999974,24,4.203335544617812,10.989536666666666,6.663773333333332,-71.05933333333333,-74.85725000000001,6
ABW,CUB,ABW,CUB,2.8,20040415,1,2.8,5,10.188679245283,12.5167,23.1319,-70.0333,-82.3642,1
ABW,ESP,ABW,ESP,-5.0,20041013,4,-5.0,1,4.5662100456621,12.5167,40.4,-70.0333,-3.68333,1
ABW,NLD,ABW,NLD,0.3,20041024,4,0.625,24,3.6759147481877874,22.479174999999998,32.383337499999996,-51.179175,-31.7854125,8
ABW,USA,ABW,USA,-3.511111111111111,20040303,4,-3.4857142857142853,27,3.566608829766724,16.916742857142857,41.88752857142857,-72.08955714285715,-82.5955857142857,7
AFG,AFG,AFG,AFG,-1.1182250643375184,20041231,4,-0.9254285117056856,38469,4.615628619882305,34.178807284699,34.21706172449833,60.7265069041597,60.70792750114967,9568
AFG,AFR,AFG,AFR,-2.29,20040928,4,-2.623529411764706,60,5.234888833807249,32.74124117647059,23.975182352941175,44.47668823529412,25.81208294117647,17
AFG,AGO,AFG,AGO,3.4,20040527,1,3.4,4,6.98151950718686,24.0,1.25,47.5,24.25,2
AFG,ALB,AFG,ALB,3.12551724137931,20041208,4,3.2365853658536583,145,6.877813884153422,35.28199024390244,40.46169756097561,59.81019756097561,24.74369268292683,41
AFG,ARE,AFG,ARE,-0.5015625000000001,20041215,4,0.5294117647058824,64,5.3044419099391105,32.00164705882353,27.30645882352941,63.73684117647059,56.57409411764706,17
AFG,ARM,AFG,ARM,4.03125,20041127,3,3.423076923076923,48,4.614726271832887,37.70782307692308,38.37128461538462,52.69630769230769,50.386923076923075,13
AFG,ASA,AFG,ASA,0.5599999999999998,20041123,4,-0.25833333333333336,65,7.110878121046189,33.914091666666664,33.37659166666666,65.2623,63.037299999999995,12
AFG,AUS,AFG,AUS,-0.36759689922480626,20041221,4,-1.5696969696969698,645,3.8677628041449563,19.785636363636364,-19.0588101010101,67.33109848484848,115.82229242424243,198
AFG,AUT,AFG,AUT,4.647619047619047,20040924,2,4.566666666666666,21,5.769252650973082,43.1889,45.019450000000006,18.98056666666667,-4.813866666666665,6
AFG,AZE,AFG,AZE,0.8964028776978417,20041113,4,0.5444444444444444,139,4.516485444028664,35.53047222222222,39.64418333333333,59.76493333333334,49.40128055555555,36
AFG,BDI,AFG,BDI,3.0,20040617,1,3.0,8,5.32581346492085,33.0,22.5,65.0,50.0,4
AFG,BEL,AFG,BEL,1.7308681672025723,20041224,4,1.9439024390243904,311,6.269760094185595,38.694868292682926,46.834032926829266,50.31240963414634,17.55129195121951,82
AFG,BGD,AFG,BGD,0.7663865546218488,20041018,4,1.9869565217391303,119,6.334811493467006,31.608439130434782,30.614073913043477,65.54527391304347,70.45452173913043,23
AFG,BGR,AFG,BGR,3.779166666666667,20041223,2,3.41,144,5.7562945449634215,34.654235,41.847545000000004,61.675790000000006,28.946822500000003,40
AFG,BHR,AFG,BHR,1.1875,20040621,4,1.3333333333333333,64,6.580767129771052,32.69048333333333,29.140483333333332,32.476688888888894,17.602616666666663,18
AFG,BLR,AFG,BLR,0.19999999999999998,20040329,1,0.19999999999999998,12,5.503617910686375,33.0266,49.81666666666666,65.10238333333334,34.09445,6
AFG,BRA,AFG,BRA,0.7142857142857143,20040919,3,0.0,14,3.499694982461495,31.504350000000002,0.2514500000000002,66.05000000000001,-24.65,4
AFG,BTN,AFG,BTN,1.0,20041203,1,1.0,2,8.13559322033898,33.0,27.4833,65.0,89.6,1
AFG,CAN,AFG,CAN,-2.702020202020202,20041227,4,-0.8054726368159204,792,5.462455598366679,38.427734825870644,51.10298009950249,32.61404278606965,-51.883812437810946,201
AFG,CAS,AFG,CAS,4.0,20040617,1,4.0,3,9.800548359802125,33.0,31.2222,65.0,121.458,2
AFG,CHE,AFG,CHE,0.5866666666666666,20041108,4,0.40625,135,4.78984419140559,37.3749125,40.674128125,43.6739990625,18.617654375,32
AFG,CHN,AFG,CHN,-1.4116419549697967,20041207,4,-1.644007858546169,1821,5.031041246531672,34.8284442043222,34.750321611001965,73.04756935166995,98.31661139489195,509
AFG,COD,AFG,COD,2.8,20040510,1,2.8,4,5.96330275229358,33.0,7.5,65.0,-30.75,2
AFG,CUB,AFG,CUB,-2.0657596371882088,20041115,4,-2.342753623188406,441,4.855737928906018,31.061773913043478,22.926225362318842,17.32525241304348,-58.48908623188406,138
AFG,CYP,AFG,CYP,1.5755813953488371,20041217,3,0.50625,172,5.720737431899718,38.141125,36.50171875,34.889925,33.575137500000004,32
AFG,CZE,AFG,CZE,4.7953488372093025,20041216,3,4.5,387,5.733070622918432,35.60936744186046,48.02142325581396,60.1953034883721,18.249303488372092,86
AFG,DEU,AFG,DEU,1.8561294540699573,20041226,4,2.1382585751978893,3059,6.016000268651816,37.67896279683377,45.99108034300791,55.046136899736155,29.60771679419525,758
