Actor1CountryCode,Actor2CountryCode,Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,COL,ABW,COL,1.8999999999999997,19811207,0.0,1.0,0.0,0.0,1.9,9,2.56696428571429,11.731950000000001,10.731950000000001,-72.38155,-70.85655,2
ABW,CUB,ABW,CUB,1.9,19811127,0.0,1.0,0.0,0.0,1.9,2,2.9655990510083,12.5167,17.00835,-70.0333,-75.01665,2
ABW,GRD,ABW,GRD,4.0,19811127,0.0,1.0,0.0,0.0,4.0,2,2.9655990510083,12.5167,12.5167,-70.0333,-70.0333,1
ABW,MDV,ABW,MDV,7.0,19811207,1.0,0.0,0.0,0.0,7.0,10,3.17241379310345,23.116066666666665,10.809266666666668,-87.96796666666667,-72.16983333333333,3
ABW,NLD,ABW,NLD,5.0,19811029,0.0,1.0,0.0,0.0,5.0,18,3.4225324801241,12.5,12.25,-69.9667,-68.75,2
ABW,USA,ABW,USA,2.8,19811208,0.0,1.0,0.0,0.0,2.8,10,2.21914008321775,13.266659999999998,16.72128,-77.06336,-66.45133999999999,5
ABW,VEN,ABW,VEN,7.0,19811208,1.0,0.0,0.0,0.0,7.0,6,2.75049115913556,12.5,10.5,-69.9667,-66.9167,1
AFG,AFG,AFG,AFG,-1.521750181554103,19811231,0.10963455149501661,0.5027685492801772,0.08970099667774087,0.2978959025470653,-1.111517165005537,2754,4.6404052798551305,35.01172535991141,34.9572196013289,64.0394046467331,64.32963103986711,903
AFG,AFR,AFG,AFR,1.0,19810328,0.0,1.0,0.0,0.0,1.0,1,5.49450549450549,34.5167,34.5167,69.1833,69.1833,1
AFG,AGO,AFG,AGO,4.1,19810917,0.0,0.75,0.25,0.0,3.975,36,6.375335032848334,33.875,5.4375,56.375,27.3125,8
AFG,AUS,AFG,AUS,-1.1037037037037036,19810725,0.0,0.75,0.25,0.0,-0.20000000000000007,27,3.954988137781915,24.75,-20.25,48.75,99.75,8
AFG,AUT,AFG,AUT,1.7692307692307692,19811118,0.05,0.75,0.2,0.0,1.5799999999999998,39,5.078130201045296,35.565995,34.181075,51.291340000000005,53.174479999999996,20
AFG,BGD,AFG,BGD,3.0,19810308,0.0,1.0,0.0,0.0,3.0,15,4.738310032630245,34.5167,28.25,69.1833,69.25,8
AFG,BGR,AFG,BGR,1.9166666666666667,19811224,0.0,1.0,0.0,0.0,1.8047619047619048,78,4.893013645540026,34.22139523809524,40.17698571428572,61.55157619047619,37.25396666666667,21
AFG,BTN,AFG,BTN,0.95,19810908,0.0,1.0,0.0,0.0,0.95,2,4.05405405405405,11.5,8.75,67.5,80.25,2
AFG,CAN,AFG,CAN,5.2,19810202,0.0,1.0,0.0,0.0,5.2,2,6.25,34.5167,60.0,69.1833,-95.0,2
AFG,CHE,AFG,CHE,2.425,19811215,0.0,0.7142857142857143,0.2857142857142857,0.0,1.4714285714285715,36,5.939659994880011,28.719057142857142,38.35888571428571,56.90951428571429,15.468774285714288,7
AFG,CHN,AFG,CHN,1.9195652173913043,19811125,0.14583333333333334,0.6458333333333334,0.16666666666666666,0.041666666666666664,2.1125000000000003,138,5.408767245152828,34.615770833333336,37.69185208333333,71.587825,81.76184166666667,48
AFG,CUB,AFG,CUB,0.42903225806451595,19810811,0.0,0.6875,0.0,0.3125,-1.3125,31,6.842794818890471,30.744975,22.49555,63.09578125,-39.683637499999996,16
AFG,CZE,AFG,CZE,3.105,19811219,0.06666666666666667,0.7333333333333333,0.0,0.2,2.433333333333333,60,6.2107792754188145,36.21558666666667,44.53725333333333,71.23774666666667,42.146139999999995,15
AFG,DEU,AFG,DEU,-0.15866666666666673,19811124,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,-0.24545454545454556,75,4.67706130745471,35.94306363636363,46.32636818181818,56.91268636363636,31.904195454545455,22
AFG,DNK,AFG,DNK,1.0,19810110,0.0,1.0,0.0,0.0,1.0,11,2.142857142857145,28.0,28.0,5.0,5.0,2
AFG,EGY,AFG,EGY,2.1619047619047618,19810929,0.0,0.7857142857142857,0.10714285714285714,0.10714285714285714,1.0,105,4.659995779967189,28.478571428571428,26.701785714285712,54.33333571428572,27.851192857142856,28
AFG,ETH,AFG,ETH,1.9,19810905,0.0,1.0,0.0,0.0,1.9,4,5.20833333333333,21.775015,21.775015,53.94165,53.94165,2
AFG,EUR,AFG,EUR,1.4875,19811119,0.0,1.0,0.0,0.0,1.7666666666666666,32,7.142185093150009,37.04481666666667,41.60315,61.13315,39.07204433333333,6
AFG,FIN,AFG,FIN,-0.4,19810914,0.0,1.0,0.0,0.0,-0.4000000000000001,11,6.414204805466736,48.6737,52.21666666666667,48.13816666666667,14.43889,3
AFG,FRA,AFG,FRA,3.337142857142857,19811231,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.0,2.569230769230769,35,5.650167430300144,44.348284615384614,44.14793846153846,46.55856153846154,18.46000692307692,13
AFG,GBR,AFG,GBR,2.5990719257540604,19811123,0.056451612903225805,0.8548387096774194,0.04838709677419355,0.04032258064516129,2.27258064516129,431,4.734138727921371,35.446972580645166,47.37332661290322,57.748941653225806,13.335475467741936,124
AFG,HUN,AFG,HUN,5.322413793103448,19811219,0.05555555555555555,0.9444444444444444,0.0,0.0,5.138888888888889,58,4.3925493466777885,37.424083333333336,46.63981666666667,53.63337777777778,22.121272222222224,18
