Country Name,Max Latitude,Min Latitude,Max Longitude,Min Longitude,Country Code
Afghanistan,0.6029191945836629,0.7232033856921949,0.7009162303664921,0.6940147754819348,AFG
Albania,0.6396729095225534,0.8066248880931065,0.5476895060323241,0.5750606025626227,ALB
Algeria,0.5907851930009672,0.6384796939855131,0.5218814022308217,0.4944014775481936,DZA
Angola,0.2260617251384859,0.3372670301945145,0.556282722513089,0.5531282465658549,AGO
Antigua and Barbuda,0.4205574606524224,0.6222837144949946,0.3123435010243569,0.3408461272076648,ATG
Argentina,0.0730677921392772,0.0359729795719052,0.3351354427498293,0.3070818423179038,ARG
Armenia,0.6277147630352589,0.8002767152274761,0.6204188481675392,0.6448112663049753,ARM
Australia,0.1834168645036489,0.0384145845202246,0.9658547689506032,0.7308091885028283,AUS
Austria,0.6955948298601952,0.8614796125986814,0.536620760300478,0.5469236984878219,AUT
Azerbaijan,0.6258682845335444,0.7964515341417758,0.6318859549282949,0.6486494286044097,AZE
Bahamas,0.5040886309680823,0.6542687393179784,0.2809298884589119,0.2871407133787373,BHS
Bangladesh,0.4987250505583399,0.6528037763489867,0.7514227179603915,0.7734618492439109,BGD
Barbados,0.3819572672118174,0.5902173028404004,0.31871727748691103,0.3473104005540807,BRB
Belarus,0.7584630264661918,0.9010336127614552,0.5809241975870703,0.5863153641925432,BLR
Belgium,0.7174887892376682,0.8868723040612028,0.5059469610744366,0.5267228442802725,BEL
Belize,0.4272399542776752,0.613249776186213,0.2380491691327111,0.2619185039824542,BLZ
Benin,0.3736920777279521,0.534548710018719,0.4987480081948554,0.5216437723652315,BEN
Bosnia and Herzegovina,0.6627978545678361,0.8303898429234149,0.5436489870248121,0.5648158836430799,BIH
Botswana,0.1083267387672557,0.2651582973874826,0.5713350785340314,0.5771095463465313,BWA
Brazil,0.3109997362173569,0.2094083177341904,0.4056453448668336,0.3058409327022972,BRA
Bulgaria,0.6535654620592631,0.8196467811508097,0.5692010015934441,0.5839489784139444,BGR
Burkina Faso,0.3972566605117384,0.5604297224709042,0.4946221261097199,0.5035207203047444,BFA
Cabo Verde,0.4134353292886661,0.6044599983722634,0.4233155019348964,0.4462657278079189,CPV
Cambodia,0.3939154136991119,0.5688125661268006,0.7940188936945141,0.8147004501904653,KHM
Cameroon,0.3796711509715994,0.4974363148042647,0.5339460505349419,0.5440090038093041,CMR
Canada,0.9743251560713972,0.8231464149100676,0.3380946961074436,0.1125187579360499,CAN
Central African Republic,0.3613822210498549,0.5022381378692927,0.5659002959253358,0.5609777213436455,CAF
Chad,0.4707640903895191,0.5447220639700496,0.5560550876394263,0.5582650352072032,TCD
Chile,0.1107007825551745,0.0288923252217789,0.2988276804006373,0.2035957520489438,CHL
China,0.735689791611712,0.6124359078701066,0.871300933302982,0.7318480895763593,CHN
Colombia,0.3840675283566341,0.4494994709855945,0.2975187798770771,0.2836199930739929,COL
Congo,0.2971951112283478,0.4430699112883535,0.5408889141816526,0.5518007618607873,COD
Costa Rica,0.3632286995515695,0.5289330186375844,0.2529023446391987,0.2680364769710263,CRI
Croatia,0.6739646531258243,0.8292504272808658,0.5430514454814477,0.5584093270229713,HRV
Cuba,0.4692693220786072,0.645397574672418,0.2768893694514,0.2742987417753665,CUB
Cyprus,0.5725841906269235,0.7658500854561732,0.5848508991577509,0.6125764746623572,CYP
Czechia,0.7134441220434362,0.8792219418898022,0.5414295470066014,0.5543114394551542,CZE
Denmark,1.0,0.9281354276878,0.5309298884589119,0.3086113355650468,DNK
Djibouti,0.3764178317066737,0.5729632945389436,0.6113703619394489,0.6399342029320098,DJI
Dominica,0.4020926756352765,0.6077154716366892,0.3135385841110858,0.3420004617338105,DMA
Dominican Republic,0.4399894486942759,0.6268413770651908,0.2933928977919417,0.3116414636961792,DOM
Ecuador,0.2792578914974061,0.4432326849515748,0.2737593899385385,0.2539247373888953,ECU
Egypt,0.54304053459949,0.6629771303003174,0.5928181197359434,0.5907018353918967,EGY
El Salvador,0.3917172250065945,0.5911125579881175,0.2383052583655816,0.2594078263880873,SLV
Estonia,0.7893255957091357,0.9521445430129404,0.5680343728659231,0.5824483435299551,EST
Ethiopia,0.3954981095577245,0.5116790103361276,0.6243455497382199,0.6146542768094194,ETH
Fiji,0.1549283390486239,0.30731667616179703,1.0,0.0,FJI
Finland,0.8808581728655588,0.9707821274517784,0.5776519462781697,0.5757532032783101,FIN
France,0.7138837597819397,0.0793521608203792,0.9753585249260186,0.0052233637308092,FRA
French Polynesia,0.1958146487294469,0.2589728981850736,0.1040291372638288,0.0730405171418677,PYF
