Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,Material Cooperation,Verbal Cooperation,Verbal Conflict,Material Conflict,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
ABW,ABW,-1.85,20061218,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.42857142857142855,40,4.2653874205146325,24.114742857142858,25.731914285714286,-55.841762857142854,-57.21118428571429,14
ABW,GBR,0.0,20060530,0.0,1.0,0.0,0.0,0.0,4,5.28271248525164,12.5167,53.2989,-70.0333,5.10392,1
ABW,HND,1.9,20060515,0.0,1.0,0.0,0.0,1.8999999999999997,4,8.44570617459191,27.16016666666667,28.47683333333333,-50.28071,-55.56404333333334,3
ABW,KEN,1.45,20060108,0.0,1.0,0.0,0.0,1.45,2,5.44871794871795,15.96775,15.96775,37.46065,37.46065,2
ABW,NLD,-1.7060773480662985,20061109,0.05172413793103448,0.5344827586206896,0.08620689655172414,0.3275862068965517,-1.0793103448275863,181,3.850697035696044,21.927951724137934,37.56073965517241,-56.27657172413792,-27.509526206896552,58
ABW,SUR,-3.7142857142857144,20060420,0.2,0.2,0.0,0.6,-1.4,14,3.380119249803016,12.50668,53.2989,-69.99334,5.10392,5
ABW,USA,0.023655913978494637,20061218,0.21951219512195122,0.524390243902439,0.04878048780487805,0.2073170731707317,0.7804878048780488,186,4.010927677787803,24.6616,33.136264634146336,-64.78174048780488,-77.18833731707316,82
AFG,AFG,-3.893034640887402,20061231,0.0723599756773191,0.39882440375650297,0.10850618201472874,0.4203094385514492,-2.9777177217755555,48411,3.6435349048952266,34.20724522194446,34.17156544760489,56.02144689906087,56.48623809019661,14801
AFG,AFR,-1.565217391304348,20060925,0.0,0.1875,0.1875,0.625,-3.475,23,4.097829548814036,22.89859375,18.89606875,60.42194375,57.5826625,16
AFG,AGO,-0.4,20061103,0.0,1.0,0.0,0.0,-0.4,2,5.80357142857143,33.0,10.25,65.0,41.75,2
AFG,ALB,-2.742424242424242,20061106,0.17647058823529413,0.38235294117647056,0.0,0.4411764705882353,-2.6161764705882353,99,3.575221312694361,35.18103529411764,39.465399999999995,54.513988235294114,28.876119117647058,68
AFG,ARE,3.039560439560439,20061103,0.021739130434782608,0.9347826086956522,0.0,0.043478260869565216,2.2978260869565217,91,6.134509434784785,32.61096304347826,28.39489347826087,54.66926956521739,48.38058913043478,46
AFG,ARM,1.0,20061003,0.0,1.0,0.0,0.0,1.0,4,6.97969543147208,39.9636,40.0,38.9322,45.0,2
AFG,ASA,3.7,20061202,0.5,0.5,0.0,0.0,3.7,2,3.88912987597198,34.319199999999995,34.319199999999995,67.1254,67.1254,2
AFG,AUS,1.2535879629629632,20061228,0.24342105263157895,0.3717105263157895,0.06907894736842106,0.3157894736842105,0.46118421052631575,864,5.034804782022307,20.2448875,-13.956260657894736,75.52700164473684,117.36366852960526,304
AFG,AUT,-0.012500000000000011,20060310,0.0,0.625,0.375,0.0,-0.012500000000000011,8,7.32135770573331,37.176975,46.5749875,47.0641125,16.3083125,8
AFG,AZE,2.02,20061018,0.0,0.9574468085106383,0.0,0.0425531914893617,1.8489361702127658,60,5.750683236301189,35.197240425531916,38.08287234042553,60.63039361702127,52.53605106382978,47
AFG,BDI,0.032142857142857154,20061101,0.14285714285714285,0.42857142857142855,0.35714285714285715,0.07142857142857142,-0.5071428571428571,28,4.07331336857523,31.593399285714288,10.201997857142857,65.74116428571429,43.425692857142856,14
AFG,BEL,2.4950819672131144,20061228,0.06756756756756757,0.9054054054054054,0.02702702702702703,0.0,2.1905405405405403,244,4.516801242950767,38.032674324324326,46.843582432432434,54.91365202702703,16.737188243243246,74
AFG,BGD,-0.3030534351145038,20061228,0.05172413793103448,0.43103448275862066,0.1896551724137931,0.3275862068965517,-1.4827586206896552,131,4.745774066235483,31.84356896551724,26.992124137931036,68.48549310344828,82.08840344827587,58
AFG,BGR,4.109090909090909,20061218,0.5121951219512195,0.3902439024390244,0.0,0.0975609756097561,4.300000000000001,44,4.788684901341463,34.471560975609755,40.6252756097561,62.9792487804878,21.825207317073172,41
AFG,BHR,1.6954545454545453,20060919,0.0,1.0,0.0,0.0,2.3285714285714283,22,4.350927717926431,30.0119,27.07935714285714,55.733328571428565,49.549928571428566,7
AFG,BHS,1.0,20061011,0.0,1.0,0.0,0.0,1.0,3,5.2863436123348,34.70146666666667,34.19586666666667,-3.423733333333331,-5.331199999999999,3
AFG,BLR,2.32,20061107,0.0,0.8,0.2,0.0,2.32,5,4.86712708283505,35.4,49.36,63.2,35.22668,5
AFG,BRA,-3.2560000000000002,20061128,0.09090909090909091,0.2727272727272727,0.0,0.6363636363636364,-4.672727272727273,25,4.274448116714715,27.703806363636364,9.629651818181818,51.48459090909091,-23.13841818181818,11
AFG,BWA,6.4,20060621,1.0,0.0,0.0,0.0,6.400000000000001,10,4.84330484330484,11.666666666666666,4.0,59.666666666666664,40.666666666666664,3
AFG,CAN,-4.983818121029756,20061231,0.07345844504021448,0.2804289544235925,0.040214477211796246,0.6058981233243967,-4.996782841823056,5982,3.7608569108700483,38.93658646648794,48.14242982841823,18.394168391957106,-51.841617249865955,1865
AFG,CAS,2.6923076923076925,20061112,0.0,1.0,0.0,0.0,3.233333333333333,13,8.0032512325705,33.50556666666667,31.481466666666666,66.39443333333334,98.63866666666667,6
